id,pdb_id,dataset,cluster,cluster_color,xas_rel,chir_rel
4f56_ZN_homo_d2.60_cluster1,4f56,4cys,20,#1f77b4,data/4cys-large/calculated-spectra/4f56_ZN_homo_d2.60_cluster1/xas-4f56_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/4f56_ZN_homo_d2.60_cluster1/chi-R-4f56_ZN_homo_d2.60_cluster1.dat
4fvy_ZN_homo_d2.60_cluster1,4fvy,4cys,1,#aec7e8,data/4cys-large/calculated-spectra/4fvy_ZN_homo_d2.60_cluster1/xas-4fvy_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/4fvy_ZN_homo_d2.60_cluster1/chi-R-4fvy_ZN_homo_d2.60_cluster1.dat
4i51_ZN_homo_d2.60_cluster1,4i51,4cys,15,#c7c7c7,data/4cys-large/calculated-spectra/4i51_ZN_homo_d2.60_cluster1/xas-4i51_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/4i51_ZN_homo_d2.60_cluster1/chi-R-4i51_ZN_homo_d2.60_cluster1.dat
4i51_ZN_homo_d2.60_cluster6,4i51,4cys,5,#98df8a,data/4cys-large/calculated-spectra/4i51_ZN_homo_d2.60_cluster6/xas-4i51_ZN_homo_d2.60_cluster6.dat,data/4cys-large/calculated-spectra/4i51_ZN_homo_d2.60_cluster6/chi-R-4i51_ZN_homo_d2.60_cluster6.dat
4jse_ZN_homo_d2.60_cluster2,4jse,4cys,1,#aec7e8,data/4cys-large/calculated-spectra/4jse_ZN_homo_d2.60_cluster2/xas-4jse_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/4jse_ZN_homo_d2.60_cluster2/chi-R-4jse_ZN_homo_d2.60_cluster2.dat
4l7x_ZN_homo_d2.60_cluster1,4l7x,4cys,0,#1f77b4,data/4cys-large/calculated-spectra/4l7x_ZN_homo_d2.60_cluster1/xas-4l7x_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/4l7x_ZN_homo_d2.60_cluster1/chi-R-4l7x_ZN_homo_d2.60_cluster1.dat
4mi5_ZN_homo_d2.60_cluster3,4mi5,4cys,5,#98df8a,data/4cys-large/calculated-spectra/4mi5_ZN_homo_d2.60_cluster3/xas-4mi5_ZN_homo_d2.60_cluster3.dat,data/4cys-large/calculated-spectra/4mi5_ZN_homo_d2.60_cluster3/chi-R-4mi5_ZN_homo_d2.60_cluster3.dat
4o62_ZN_homo_d2.60_cluster2,4o62,4cys,6,#d62728,data/4cys-large/calculated-spectra/4o62_ZN_homo_d2.60_cluster2/xas-4o62_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/4o62_ZN_homo_d2.60_cluster2/chi-R-4o62_ZN_homo_d2.60_cluster2.dat
4pcz_ZN_homo_d2.60_cluster1,4pcz,4cys,2,#ff7f0e,data/4cys-large/calculated-spectra/4pcz_ZN_homo_d2.60_cluster1/xas-4pcz_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/4pcz_ZN_homo_d2.60_cluster1/chi-R-4pcz_ZN_homo_d2.60_cluster1.dat
4rkh_ZN_homo_d2.60_cluster10,4rkh,4cys,9,#c5b0d5,data/4cys-large/calculated-spectra/4rkh_ZN_homo_d2.60_cluster10/xas-4rkh_ZN_homo_d2.60_cluster10.dat,data/4cys-large/calculated-spectra/4rkh_ZN_homo_d2.60_cluster10/chi-R-4rkh_ZN_homo_d2.60_cluster10.dat
4rkh_ZN_homo_d2.60_cluster6,4rkh,4cys,0,#1f77b4,data/4cys-large/calculated-spectra/4rkh_ZN_homo_d2.60_cluster6/xas-4rkh_ZN_homo_d2.60_cluster6.dat,data/4cys-large/calculated-spectra/4rkh_ZN_homo_d2.60_cluster6/chi-R-4rkh_ZN_homo_d2.60_cluster6.dat
4twi_ZN_homo_d2.60_cluster1,4twi,4cys,20,#1f77b4,data/4cys-large/calculated-spectra/4twi_ZN_homo_d2.60_cluster1/xas-4twi_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/4twi_ZN_homo_d2.60_cluster1/chi-R-4twi_ZN_homo_d2.60_cluster1.dat
4uh1_ZN_homo_d2.60_cluster1,4uh1,4cys,1,#aec7e8,data/4cys-large/calculated-spectra/4uh1_ZN_homo_d2.60_cluster1/xas-4uh1_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/4uh1_ZN_homo_d2.60_cluster1/chi-R-4uh1_ZN_homo_d2.60_cluster1.dat
4v32_ZN_homo_d2.60_cluster2,4v32,4cys,7,#ff9896,data/4cys-large/calculated-spectra/4v32_ZN_homo_d2.60_cluster2/xas-4v32_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/4v32_ZN_homo_d2.60_cluster2/chi-R-4v32_ZN_homo_d2.60_cluster2.dat
5a3w_ZN_homo_d2.60_cluster2,5a3w,4cys,13,#f7b6d2,data/4cys-large/calculated-spectra/5a3w_ZN_homo_d2.60_cluster2/xas-5a3w_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/5a3w_ZN_homo_d2.60_cluster2/chi-R-5a3w_ZN_homo_d2.60_cluster2.dat
5ad8_ZN_homo_d2.60_cluster1,5ad8,4cys,1,#aec7e8,data/4cys-large/calculated-spectra/5ad8_ZN_homo_d2.60_cluster1/xas-5ad8_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/5ad8_ZN_homo_d2.60_cluster1/chi-R-5ad8_ZN_homo_d2.60_cluster1.dat
5arg_ZN_homo_d2.60_cluster1,5arg,4cys,4,#2ca02c,data/4cys-large/calculated-spectra/5arg_ZN_homo_d2.60_cluster1/xas-5arg_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/5arg_ZN_homo_d2.60_cluster1/chi-R-5arg_ZN_homo_d2.60_cluster1.dat
5arg_ZN_homo_d2.60_cluster2,5arg,4cys,14,#7f7f7f,data/4cys-large/calculated-spectra/5arg_ZN_homo_d2.60_cluster2/xas-5arg_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/5arg_ZN_homo_d2.60_cluster2/chi-R-5arg_ZN_homo_d2.60_cluster2.dat
5fyb_ZN_homo_d2.60_cluster2,5fyb,4cys,13,#f7b6d2,data/4cys-large/calculated-spectra/5fyb_ZN_homo_d2.60_cluster2/xas-5fyb_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/5fyb_ZN_homo_d2.60_cluster2/chi-R-5fyb_ZN_homo_d2.60_cluster2.dat
5jhn_ZN_homo_d2.60_cluster8,5jhn,4cys,8,#9467bd,data/4cys-large/calculated-spectra/5jhn_ZN_homo_d2.60_cluster8/xas-5jhn_ZN_homo_d2.60_cluster8.dat,data/4cys-large/calculated-spectra/5jhn_ZN_homo_d2.60_cluster8/chi-R-5jhn_ZN_homo_d2.60_cluster8.dat
5jin_ZN_homo_d2.60_cluster6,5jin,4cys,18,#17becf,data/4cys-large/calculated-spectra/5jin_ZN_homo_d2.60_cluster6/xas-5jin_ZN_homo_d2.60_cluster6.dat,data/4cys-large/calculated-spectra/5jin_ZN_homo_d2.60_cluster6/chi-R-5jin_ZN_homo_d2.60_cluster6.dat
5lsz_ZN_homo_d2.60_cluster2,5lsz,4cys,19,#9edae5,data/4cys-large/calculated-spectra/5lsz_ZN_homo_d2.60_cluster2/xas-5lsz_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/5lsz_ZN_homo_d2.60_cluster2/chi-R-5lsz_ZN_homo_d2.60_cluster2.dat
5lt7_ZN_homo_d2.60_cluster2,5lt7,4cys,19,#9edae5,data/4cys-large/calculated-spectra/5lt7_ZN_homo_d2.60_cluster2/xas-5lt7_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/5lt7_ZN_homo_d2.60_cluster2/chi-R-5lt7_ZN_homo_d2.60_cluster2.dat
5oh1_ZN_homo_d2.60_cluster3,5oh1,4cys,7,#ff9896,data/4cys-large/calculated-spectra/5oh1_ZN_homo_d2.60_cluster3/xas-5oh1_ZN_homo_d2.60_cluster3.dat,data/4cys-large/calculated-spectra/5oh1_ZN_homo_d2.60_cluster3/chi-R-5oh1_ZN_homo_d2.60_cluster3.dat
5ohb_ZN_homo_d2.60_cluster2,5ohb,4cys,6,#d62728,data/4cys-large/calculated-spectra/5ohb_ZN_homo_d2.60_cluster2/xas-5ohb_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/5ohb_ZN_homo_d2.60_cluster2/chi-R-5ohb_ZN_homo_d2.60_cluster2.dat
5pwj_ZN_homo_d2.60_cluster2,5pwj,4cys,0,#1f77b4,data/4cys-large/calculated-spectra/5pwj_ZN_homo_d2.60_cluster2/xas-5pwj_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/5pwj_ZN_homo_d2.60_cluster2/chi-R-5pwj_ZN_homo_d2.60_cluster2.dat
5pwl_ZN_homo_d2.60_cluster5,5pwl,4cys,0,#1f77b4,data/4cys-large/calculated-spectra/5pwl_ZN_homo_d2.60_cluster5/xas-5pwl_ZN_homo_d2.60_cluster5.dat,data/4cys-large/calculated-spectra/5pwl_ZN_homo_d2.60_cluster5/chi-R-5pwl_ZN_homo_d2.60_cluster5.dat
5t0k_ZN_homo_d2.60_cluster7,5t0k,4cys,18,#17becf,data/4cys-large/calculated-spectra/5t0k_ZN_homo_d2.60_cluster7/xas-5t0k_ZN_homo_d2.60_cluster7.dat,data/4cys-large/calculated-spectra/5t0k_ZN_homo_d2.60_cluster7/chi-R-5t0k_ZN_homo_d2.60_cluster7.dat
5t0m_ZN_homo_d2.60_cluster3,5t0m,4cys,9,#c5b0d5,data/4cys-large/calculated-spectra/5t0m_ZN_homo_d2.60_cluster3/xas-5t0m_ZN_homo_d2.60_cluster3.dat,data/4cys-large/calculated-spectra/5t0m_ZN_homo_d2.60_cluster3/chi-R-5t0m_ZN_homo_d2.60_cluster3.dat
5t64_ZN_homo_d2.60_cluster2,5t64,4cys,20,#1f77b4,data/4cys-large/calculated-spectra/5t64_ZN_homo_d2.60_cluster2/xas-5t64_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/5t64_ZN_homo_d2.60_cluster2/chi-R-5t64_ZN_homo_d2.60_cluster2.dat
5ttf_ZN_homo_d2.60_cluster6,5ttf,4cys,5,#98df8a,data/4cys-large/calculated-spectra/5ttf_ZN_homo_d2.60_cluster6/xas-5ttf_ZN_homo_d2.60_cluster6.dat,data/4cys-large/calculated-spectra/5ttf_ZN_homo_d2.60_cluster6/chi-R-5ttf_ZN_homo_d2.60_cluster6.dat
5ttg_ZN_homo_d2.60_cluster5,5ttg,4cys,15,#c7c7c7,data/4cys-large/calculated-spectra/5ttg_ZN_homo_d2.60_cluster5/xas-5ttg_ZN_homo_d2.60_cluster5.dat,data/4cys-large/calculated-spectra/5ttg_ZN_homo_d2.60_cluster5/chi-R-5ttg_ZN_homo_d2.60_cluster5.dat
5upd_ZN_homo_d2.60_cluster2,5upd,4cys,19,#9edae5,data/4cys-large/calculated-spectra/5upd_ZN_homo_d2.60_cluster2/xas-5upd_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/5upd_ZN_homo_d2.60_cluster2/chi-R-5upd_ZN_homo_d2.60_cluster2.dat
5v9i_ZN_homo_d2.60_cluster16,5v9i,4cys,8,#9467bd,data/4cys-large/calculated-spectra/5v9i_ZN_homo_d2.60_cluster16/xas-5v9i_ZN_homo_d2.60_cluster16.dat,data/4cys-large/calculated-spectra/5v9i_ZN_homo_d2.60_cluster16/chi-R-5v9i_ZN_homo_d2.60_cluster16.dat
5vsf_ZN_homo_d2.60_cluster2,5vsf,4cys,18,#17becf,data/4cys-large/calculated-spectra/5vsf_ZN_homo_d2.60_cluster2/xas-5vsf_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/5vsf_ZN_homo_d2.60_cluster2/chi-R-5vsf_ZN_homo_d2.60_cluster2.dat
